medida500_l,medida500_m,grade
388.532,322.76,6to
410.989,459.882,6to
460.469,335.399,6to
445.558,459.529,6to
438.498,392.168,6to
533.136,528.443,6to
486.7,562.758,6to
532.588,530.773,6to
451.583,424.507,6to
475.319,492.503,6to
405.999,268.109,6to
445.558,360.889,6to
476.84,320.995,6to
424.257,459.882,6to
529.606,481.77,6to
352.625,360.889,6to
502.28,557.251,6to
502.219,459.882,6to
390.601,335.399,6to
371.735,511.567,6to
524.007,518.134,6to
539.831,580.481,6to
592.414,518.84,6to
463.999,501.47,6to
589.614,603.288,6to
493.577,459.882,6to
641.102,501.823,6to
640.067,533.032,6to
424.196,472.591,6to
502.888,454.092,6to
536.909,553.509,6to
493.577,477.675,6to
687.964,616.562,6to
539.831,580.481,6to
464.912,420.482,6to
573.182,602.017,6to
464.912,507.684,6to
519.808,459.882,6to
589.006,639.58,6to
505.018,472.591,6to
515.791,418.435,6to
552.794,492.221,6to
546.586,545.954,6to
524.007,486.572,6to
592.414,641.416,6to
642.928,522.935,6to
518.286,626.306,6to
641.102,616.562,6to
433.569,377.623,6to
464.912,488.337,6to
383.42,532.326,6to
546.586,459.882,6to
538.309,454.798,6to
570.626,502.953,6to
519.26,518.84,6to
529.058,564.877,6to
589.614,476.334,6to
519.808,528.796,6to
641.102,563.041,6to
512.93,564.029,6to
478.057,549.413,6to
614.81,516.863,6to
450.244,507.684,6to
493.577,494.974,6to
441.846,437.711,6to
611.037,533.032,6to
592.414,488.337,6to
574.034,650.383,6to
400.826,522.935,6to
550.177,456.281,6to
608.481,561.77,6to
690.277,538.116,6to
560.706,563.606,6to
524.007,531.973,6to
589.006,639.58,6to
592.414,565.3,6to
614.81,602.017,6to
612.802,507.684,6to
575.799,625.176,6to
641.102,664.717,6to
686.443,580.481,6to
424.196,456.281,6to
614.81,828.246,6to
507.453,492.221,6to
